                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.52206,                0.29903,                0.82452,                0.79848,                0.62942,                   0.65,                0.53545,                0.57704,                0.31817,                0.86246,             0.00020922,             0.00020922,             0.00020922
                     65,                0.51185,                0.29518,                0.82429,                0.77077,                0.65722,                0.64651,                0.52849,                0.57894,                0.31586,                0.86134,             0.00020372,             0.00020372,             0.00020372
                     66,                0.51435,                 0.2967,                0.82413,                0.75516,                0.64098,                0.65782,                0.53977,                 0.5669,                0.31472,                0.86044,             0.00019821,             0.00019821,             0.00019821
                     67,                0.52126,                 0.2981,                0.82591,                0.79619,                 0.6295,                0.65166,                0.53613,                0.56709,                0.31653,                0.86034,             0.00019271,             0.00019271,             0.00019271
                     68,                0.50989,                 0.2941,                0.82585,                0.79546,                0.64814,                0.67563,                0.54449,                0.56385,                0.31121,                0.85926,             0.00018721,             0.00018721,             0.00018721
                     69,                0.51085,                0.29399,                 0.8255,                 0.7743,                0.62533,                0.64775,                0.53421,                0.56247,                0.31183,                0.86019,              0.0001817,              0.0001817,              0.0001817
                     70,                0.50728,                0.29146,                0.82435,                0.76516,                0.65529,                0.65874,                0.54085,                0.55926,                0.31399,                0.85772,              0.0001762,              0.0001762,              0.0001762
                     71,                0.48905,                 0.2873,                0.81685,                0.76765,                 0.6513,                0.66148,                0.54259,                0.56288,                0.31303,                0.86013,             0.00017069,             0.00017069,             0.00017069
                     72,                0.48954,                0.28655,                0.82037,                0.75677,                0.64076,                0.65851,                0.54426,                0.55215,                0.31069,                 0.8568,             0.00016519,             0.00016519,             0.00016519
                     73,                0.49264,                0.28765,                0.82183,                0.81586,                0.62343,                0.65719,                0.54451,                0.54846,                0.30461,                0.85724,             0.00015968,             0.00015968,             0.00015968
                     74,                0.48253,                0.28096,                0.82223,                0.76915,                0.63991,                0.64661,                0.53931,                0.54925,                0.30769,                 0.8574,             0.00015418,             0.00015418,             0.00015418
                     75,                0.48373,                0.28249,                0.81873,                 0.7708,                0.66562,                0.66134,                0.55153,                0.55527,                0.30821,                0.86034,             0.00014867,             0.00014867,             0.00014867
                     76,                 0.4832,                0.28285,                0.81942,                0.76928,                0.65662,                 0.6527,                0.54675,                0.55152,                0.30464,                0.85937,             0.00014317,             0.00014317,             0.00014317
                     77,                0.48511,                 0.2793,                0.82117,                 0.7365,                0.65401,                0.64633,                0.53851,                0.54561,                0.29992,                0.85821,             0.00013767,             0.00013767,             0.00013767
                     78,                0.46509,                0.27363,                0.81517,                0.75756,                0.66144,                0.65064,                0.54785,                0.54464,                0.30142,                0.85639,             0.00013216,             0.00013216,             0.00013216
                     79,                0.47174,                0.27814,                0.81713,                0.75647,                0.64786,                0.65841,                 0.5529,                0.54376,                0.29552,                0.85523,             0.00012666,             0.00012666,             0.00012666
                     80,                0.47417,                0.27817,                0.81889,                0.82987,                0.64082,                0.66607,                0.55555,                0.54629,                0.30485,                0.85746,             0.00012115,             0.00012115,             0.00012115
                     81,                0.47041,                0.27728,                0.81763,                0.80132,                0.65658,                0.65125,                0.54659,                0.53661,                0.29882,                0.85353,             0.00011565,             0.00011565,             0.00011565
                     82,                0.46313,                 0.2734,                 0.8123,                0.84411,                0.63742,                0.65215,                0.54488,                0.54315,                0.29241,                 0.8546,             0.00011014,             0.00011014,             0.00011014
                     83,                0.46287,                0.27176,                0.81411,                0.87155,                0.63709,                0.65892,                  0.553,                0.53375,                0.29203,                0.85201,             0.00010464,             0.00010464,             0.00010464
                     84,                0.46234,                0.27299,                 0.8166,                 0.8814,                0.64133,                0.65028,                0.54793,                0.52765,                0.28936,                0.85172,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     85,                0.45798,                0.26908,                0.81389,                0.83831,                0.65557,                 0.6545,                0.54797,                0.53213,                0.29179,                0.85213,              9.363e-05,              9.363e-05,              9.363e-05
                     86,                0.45073,                0.26739,                0.81335,                0.86315,                0.66376,                0.66533,                0.56184,                0.52667,                0.28602,                0.85194,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     87,                0.45555,                0.26796,                0.81518,                0.88619,                0.64844,                0.65719,                0.55632,                0.52633,                0.29257,                0.85276,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     88,                0.44643,                0.26541,                0.81202,                0.85675,                0.64997,                0.64882,                0.54791,                0.53457,                0.29155,                0.85284,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     89,                0.43554,                0.26008,                0.81137,                 0.8743,                0.66001,                0.65487,                0.55691,                0.52926,                0.28682,                0.85274,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     90,                0.43586,                0.26008,                0.81346,                0.78428,                0.64602,                0.65245,                0.55604,                0.52631,                0.29163,                0.85206,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     91,                0.44664,                0.26313,                0.80836,                0.74734,                 0.6452,                0.65329,                0.54882,                0.53244,                0.28991,                0.85411,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     92,                0.43064,                0.25415,                0.80319,                0.84826,                0.64454,                0.65016,                0.54397,                0.53399,                0.29329,                0.85451,               5.51e-05,               5.51e-05,               5.51e-05
                     93,                 0.4209,                0.25143,                0.80579,                0.92523,                 0.6094,                 0.6474,                0.54589,                0.52358,                0.29273,                0.85482,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     94,                0.40676,                0.24743,                0.80376,                0.85021,                0.67454,                0.65545,                0.54804,                0.52919,                0.29249,                0.85613,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     95,                0.41169,                 0.2473,                0.80416,                0.83871,                0.67093,                0.65946,                0.54942,                0.52516,                0.29023,                0.85505,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     96,                0.40007,                0.24245,                0.80333,                0.83007,                0.65441,                0.65445,                0.55282,                0.51771,                 0.2865,                0.85479,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     97,                0.40063,                0.24263,                0.80109,                0.86528,                0.66473,                0.65487,                0.55515,                0.51463,                0.28309,                0.85365,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     98,                 0.3962,                0.24031,                0.80303,                0.85705,                0.65729,                0.65958,                0.55742,                0.51675,                0.28316,                0.85351,             2.2073e-05,             2.2073e-05,             2.2073e-05
                     99,                0.39346,                0.23994,                0.80124,                0.85075,                0.65236,                0.65842,                0.55592,                0.51168,                0.28303,                0.85293,             1.6569e-05,             1.6569e-05,             1.6569e-05
                    100,                 0.3864,                 0.2364,                0.80093,                 0.8875,                0.65155,                0.66074,                0.56212,                 0.5126,                 0.2825,                0.85352,             1.1064e-05,             1.1064e-05,             1.1064e-05
